FeatureCode,DateCode,Measurement,Units,Value,Gender,Population Group
S12000042,2002,Median,Pounds (GBP),282.4,Female,Residence Based
S12000035,2010,Median,Pounds (GBP),435.1,Female,Residence Based
S12000035,2009,Median,Pounds (GBP),417.1,Female,Residence Based
S12000035,2011,Median,Pounds (GBP),451.3,Female,Residence Based
S12000035,2007,Median,Pounds (GBP),310.2,Female,Residence Based
S12000035,2006,Median,Pounds (GBP),339.4,Female,Residence Based
S12000035,2008,Median,Pounds (GBP),389,Female,Residence Based
S12000039,2004,Median,Pounds (GBP),347,All,Residence Based
S92000003,1999,Median,Pounds (GBP),270.5,Female,Residence Based
S92000003,1998,Median,Pounds (GBP),256.9,Female,Residence Based
S12000035,2012,Median,Pounds (GBP),393.1,Female,Residence Based
S12000039,2005,Median,Pounds (GBP),363.8,All,Residence Based
S12000039,2006,Median,Pounds (GBP),400.7,All,Residence Based
S92000003,2001,Median,Pounds (GBP),296.7,Female,Residence Based
S92000003,2000,Median,Pounds (GBP),280.9,Female,Residence Based
S92000003,2002,Median,Pounds (GBP),311,Female,Residence Based
S12000039,2007,Median,Pounds (GBP),410.1,All,Residence Based
S12000035,2004,Median,Pounds (GBP),334,Female,Residence Based
S12000035,2003,Median,Pounds (GBP),287.4,Female,Residence Based
S12000035,2005,Median,Pounds (GBP),326.3,Female,Residence Based
S12000035,2001,Median,Pounds (GBP),313,Female,Residence Based
S12000035,2002,Median,Pounds (GBP),266.9,Female,Residence Based
S12000035,2012,Median,Pounds (GBP),530.7,Male,Residence Based
S12000035,2011,Median,Pounds (GBP),529.6,Male,Residence Based
S12000036,2001,Median,Pounds (GBP),397.3,All,Residence Based
S12000035,2009,Median,Pounds (GBP),477.1,Male,Residence Based
S12000035,2010,Median,Pounds (GBP),545.4,Male,Residence Based
S12000036,2005,Median,Pounds (GBP),460.2,All,Residence Based
S12000036,2004,Median,Pounds (GBP),428.2,All,Residence Based
S12000036,2006,Median,Pounds (GBP),479.7,All,Residence Based
S12000036,2002,Median,Pounds (GBP),412.4,All,Residence Based
S12000036,2003,Median,Pounds (GBP),422,All,Residence Based
S12000035,2002,Median,Pounds (GBP),386.2,Male,Residence Based
S12000039,2001,Median,Pounds (GBP),327.4,All,Residence Based
S12000035,2003,Median,Pounds (GBP),412.9,Male,Residence Based
S12000039,2003,Median,Pounds (GBP),358.2,All,Residence Based
S12000039,2002,Median,Pounds (GBP),341.3,All,Residence Based
S12000035,2007,Median,Pounds (GBP),482.9,Male,Residence Based
S12000035,2006,Median,Pounds (GBP),492.5,Male,Residence Based
S12000035,2008,Median,Pounds (GBP),477.3,Male,Residence Based
S12000035,2004,Median,Pounds (GBP),437.5,Male,Residence Based
S12000035,2005,Median,Pounds (GBP),464.6,Male,Residence Based
S92000003,2012,Median,Pounds (GBP),439.7,Female,Residence Based
S12000034,2012,Median,Pounds (GBP),600.9,Male,Residence Based
S92000003,2011,Median,Pounds (GBP),435.4,Female,Residence Based
S12000034,2010,Median,Pounds (GBP),605.7,Male,Residence Based
S12000034,2009,Median,Pounds (GBP),585.5,Male,Residence Based
S12000034,2011,Median,Pounds (GBP),576.6,Male,Residence Based
S12000039,2012,Median,Pounds (GBP),479.5,All,Residence Based
S92000003,2008,Median,Pounds (GBP),399.9,Female,Residence Based
S92000003,2007,Median,Pounds (GBP),381,Female,Residence Based
S92000003,2010,Median,Pounds (GBP),428.9,Female,Residence Based
S92000003,2009,Median,Pounds (GBP),419.2,Female,Residence Based
S12000034,2002,Median,Pounds (GBP),474.1,Male,Residence Based
S12000034,2001,Median,Pounds (GBP),450.8,Male,Residence Based
S12000034,2003,Median,Pounds (GBP),470.1,Male,Residence Based
S12000034,2011,Median,Pounds (GBP),478.5,Female,Residence Based
S12000034,2012,Median,Pounds (GBP),469.7,Female,Residence Based
S12000034,2007,Median,Pounds (GBP),530.1,Male,Residence Based
S12000034,2006,Median,Pounds (GBP),523.5,Male,Residence Based
S12000034,2008,Median,Pounds (GBP),553.9,Male,Residence Based
S12000034,2004,Median,Pounds (GBP),451.1,Male,Residence Based
S12000034,2005,Median,Pounds (GBP),470,Male,Residence Based
S12000039,2011,Median,Pounds (GBP),443,All,Residence Based
S12000035,2012,Median,Pounds (GBP),462,All,Residence Based
S92000003,2005,Median,Pounds (GBP),360.4,Female,Residence Based
S12000035,2010,Median,Pounds (GBP),468.1,All,Residence Based
S12000035,2011,Median,Pounds (GBP),495.2,All,Residence Based
S92000003,2003,Median,Pounds (GBP),326,Female,Residence Based
S12000039,2009,Median,Pounds (GBP),431.7,All,Residence Based
S12000039,2008,Median,Pounds (GBP),412.9,All,Residence Based
S12000039,2010,Median,Pounds (GBP),453.6,All,Residence Based
S92000003,2004,Median,Pounds (GBP),341,Female,Residence Based
S12000035,2003,Median,Pounds (GBP),380.1,All,Residence Based
S12000035,2002,Median,Pounds (GBP),349.2,All,Residence Based
S12000035,2004,Median,Pounds (GBP),400.1,All,Residence Based
S92000003,2006,Median,Pounds (GBP),372.6,Female,Residence Based
S12000035,2001,Median,Pounds (GBP),341.3,All,Residence Based
S12000035,2008,Median,Pounds (GBP),434.9,All,Residence Based
S12000035,2007,Median,Pounds (GBP),406.1,All,Residence Based
S12000035,2009,Median,Pounds (GBP),452.7,All,Residence Based
S12000035,2005,Median,Pounds (GBP),396.6,All,Residence Based
S12000035,2006,Median,Pounds (GBP),442.2,All,Residence Based
S92000003,1998,Median,Pounds (GBP),313.8,All,Residence Based
S12000038,2003,Median,Pounds (GBP),399.2,Male,Residence Based
S12000038,2002,Median,Pounds (GBP),402.8,Male,Residence Based
S12000038,2004,Median,Pounds (GBP),431.2,Male,Residence Based
S92000003,2000,Median,Pounds (GBP),338.4,All,Residence Based
S92000003,1999,Median,Pounds (GBP),330.2,All,Residence Based
S12000038,2004,Median,Pounds (GBP),400.6,All,Residence Based
S12000038,2003,Median,Pounds (GBP),384.8,All,Residence Based
S12000038,2005,Median,Pounds (GBP),434.6,All,Residence Based
S12000038,2001,Median,Pounds (GBP),360.1,All,Residence Based
S12000038,2002,Median,Pounds (GBP),372.6,All,Residence Based
S12000036,2011,Median,Pounds (GBP),541.2,Male,Residence Based
S12000036,2010,Median,Pounds (GBP),540.7,Male,Residence Based
S12000036,2012,Median,Pounds (GBP),563.3,Male,Residence Based
S12000036,2008,Median,Pounds (GBP),523.2,Male,Residence Based
S12000036,2009,Median,Pounds (GBP),536.3,Male,Residence Based
S92000003,2001,Median,Pounds (GBP),355.1,All,Residence Based
